codigo_region;nombre_region;codigo_comuna;nombre_comuna;clasificacion;tramo_fonasa;beneficiarios
4;Coquimbo;4105;Paiguano;Rural;B;1442
4;Coquimbo;4105;Paiguano;Rural;C;534
4;Coquimbo;4105;Paiguano;Rural;D;694
4;Coquimbo;4106;Vicuña;Rural;A;4136
4;Coquimbo;4106;Vicuña;Rural;B;10269
4;Coquimbo;4106;Vicuña;Rural;C;3219
4;Coquimbo;4106;Vicuña;Rural;D;5634
4;Coquimbo;4201;Illapel;Rural;A;6478
4;Coquimbo;4201;Illapel;Rural;B;12504
4;Coquimbo;4201;Illapel;Rural;C;4948
4;Coquimbo;4201;Illapel;Rural;D;7715
4;Coquimbo;4202;Canela;Rural;A;2326
4;Coquimbo;4202;Canela;Rural;B;4448
4;Coquimbo;4202;Canela;Rural;C;1281
4;Coquimbo;4202;Canela;Rural;D;2083
4;Coquimbo;4203;Los Vilos;Rural;A;4674
4;Coquimbo;4203;Los Vilos;Rural;B;6469
4;Coquimbo;4203;Los Vilos;Rural;C;2095
4;Coquimbo;4203;Los Vilos;Rural;D;3340
4;Coquimbo;4204;Salamanca;Rural;A;4153
4;Coquimbo;4204;Salamanca;Rural;B;8450
4;Coquimbo;4204;Salamanca;Rural;C;2988
4;Coquimbo;4204;Salamanca;Rural;D;5436
4;Coquimbo;4301;Ovalle;Urbana;A;18706
4;Coquimbo;4301;Ovalle;Urbana;B;50071
4;Coquimbo;4301;Ovalle;Urbana;C;18645
4;Coquimbo;4301;Ovalle;Urbana;D;27364
4;Coquimbo;4302;Combarbalá;Rural;A;2102
4;Coquimbo;4302;Combarbalá;Rural;B;4446
4;Coquimbo;4302;Combarbalá;Rural;C;1276
4;Coquimbo;4302;Combarbalá;Rural;D;1991
4;Coquimbo;4303;Monte Patria;Rural;A;6479
4;Coquimbo;4303;Monte Patria;Rural;B;14262
4;Coquimbo;4303;Monte Patria;Rural;C;4417
4;Coquimbo;4303;Monte Patria;Rural;D;7385
4;Coquimbo;4304;Punitaqui;Rural;A;3313
4;Coquimbo;4304;Punitaqui;Rural;B;5475
4;Coquimbo;4304;Punitaqui;Rural;C;1694
4;Coquimbo;4304;Punitaqui;Rural;D;2809
4;Coquimbo;4305;Río Hurtado;Rural;A;1097
4;Coquimbo;4305;Río Hurtado;Rural;B;2053
4;Coquimbo;4305;Río Hurtado;Rural;C;502
4;Coquimbo;4305;Río Hurtado;Rural;D;939
5;Valparaíso;5101;Valparaíso;Urbana;A;50188
5;Valparaíso;5101;Valparaíso;Urbana;B;118886
5;Valparaíso;5101;Valparaíso;Urbana;C;46351
5;Valparaíso;5101;Valparaíso;Urbana;D;64054
5;Valparaíso;5102;Casablanca;Mixta;A;3443
5;Valparaíso;5102;Casablanca;Mixta;B;9754
5;Valparaíso;5102;Casablanca;Mixta;C;4524
5;Valparaíso;5102;Casablanca;Mixta;D;6485
5;Valparaíso;5103;Concón;Mixta;A;5300
5;Valparaíso;5103;Concón;Mixta;B;16681
5;Valparaíso;5103;Concón;Mixta;C;6941
5;Valparaíso;5103;Concón;Mixta;D;9959
5;Valparaíso;5104;Juan Fernández;Rural;A;13
5;Valparaíso;5104;Juan Fernández;Rural;B;251
5;Valparaíso;5104;Juan Fernández;Rural;C;41
5;Valparaíso;5104;Juan Fernández;Rural;D;129
5;Valparaíso;5105;Puchuncaví;Mixta;A;3513
5;Valparaíso;5105;Puchuncaví;Mixta;B;8796
5;Valparaíso;5105;Puchuncaví;Mixta;C;3500
5;Valparaíso;5105;Puchuncaví;Mixta;D;4445
5;Valparaíso;5107;Quintero;Mixta;A;4642
5;Valparaíso;5107;Quintero;Mixta;B;9789
5;Valparaíso;5107;Quintero;Mixta;C;3895
5;Valparaíso;5107;Quintero;Mixta;D;5646
5;Valparaíso;5109;Viña del Mar;Urbana;A;41117
5;Valparaíso;5109;Viña del Mar;Urbana;B;123014
5;Valparaíso;5109;Viña del Mar;Urbana;C;48658
5;Valparaíso;5109;Viña del Mar;Urbana;D;67900
5;Valparaíso;5201;Isla de Pascua;Rural;A;871
5;Valparaíso;5201;Isla de Pascua;Rural;B;1223
5;Valparaíso;5201;Isla de Pascua;Rural;C;647
5;Valparaíso;5201;Isla de Pascua;Rural;D;1074
5;Valparaíso;5301;Los Andes;Urbana;A;7396
5;Valparaíso;5301;Los Andes;Urbana;B;23464
5;Valparaíso;5301;Los Andes;Urbana;C;9944
5;Valparaíso;5301;Los Andes;Urbana;D;16371
5;Valparaíso;5302;Calle Larga;Mixta;A;2427
5;Valparaíso;5302;Calle Larga;Mixta;B;5698
5;Valparaíso;5302;Calle Larga;Mixta;C;2341
5;Valparaíso;5302;Calle Larga;Mixta;D;3926
5;Valparaíso;5303;Rinconada;Rural;A;1936
5;Valparaíso;5303;Rinconada;Rural;B;5338
5;Valparaíso;5303;Rinconada;Rural;C;1628
5;Valparaíso;5303;Rinconada;Rural;D;2777
5;Valparaíso;5304;San Esteban;Mixta;A;2387
5;Valparaíso;5304;San Esteban;Mixta;B;7354
5;Valparaíso;5304;San Esteban;Mixta;C;3002
5;Valparaíso;5304;San Esteban;Mixta;D;4415
5;Valparaíso;5401;La Ligua;Mixta;A;7022
5;Valparaíso;5401;La Ligua;Mixta;B;17166
5;Valparaíso;5401;La Ligua;Mixta;C;5869
5;Valparaíso;5401;La Ligua;Mixta;D;7096
5;Valparaíso;5402;Cabildo;Mixta;A;2289
5;Valparaíso;5402;Cabildo;Mixta;B;6949
5;Valparaíso;5402;Cabildo;Mixta;C;2920
5;Valparaíso;5402;Cabildo;Mixta;D;3758
5;Valparaíso;5403;Papudo;Rural;A;1040
5;Valparaíso;5403;Papudo;Rural;B;2835
5;Valparaíso;5403;Papudo;Rural;C;1365
5;Valparaíso;5403;Papudo;Rural;D;1403
5;Valparaíso;5404;Petorca;Rural;A;1845
5;Valparaíso;5404;Petorca;Rural;B;4801
5;Valparaíso;5404;Petorca;Rural;C;1444
5;Valparaíso;5404;Petorca;Rural;D;2274
5;Valparaíso;5405;Zapallar;Rural;A;1232
5;Valparaíso;5405;Zapallar;Rural;B;4102
5;Valparaíso;5405;Zapallar;Rural;C;1729
5;Valparaíso;5405;Zapallar;Rural;D;2266
5;Valparaíso;5501;Quillota;Urbana;A;15467
5;Valparaíso;5501;Quillota;Urbana;B;40920
5;Valparaíso;5501;Quillota;Urbana;C;15421
5;Valparaíso;5501;Quillota;Urbana;D;21797
5;Valparaíso;5502;Calera;Urbana;A;7875
5;Valparaíso;5502;Calera;Urbana;B;19393
5;Valparaíso;5502;Calera;Urbana;C;7511
5;Valparaíso;5502;Calera;Urbana;D;10715
5;Valparaíso;5503;Hijuelas;Mixta;A;3889
5;Valparaíso;5503;Hijuelas;Mixta;B;8274
5;Valparaíso;5503;Hijuelas;Mixta;C;3296
5;Valparaíso;5503;Hijuelas;Mixta;D;4561
5;Valparaíso;5504;La Cruz;Mixta;A;2517
5;Valparaíso;5504;La Cruz;Mixta;B;9180
5;Valparaíso;5504;La Cruz;Mixta;C;3651
5;Valparaíso;5504;La Cruz;Mixta;D;5803
5;Valparaíso;5506;Nogales;Rural;A;3084
5;Valparaíso;5506;Nogales;Rural;B;8483
5;Valparaíso;5506;Nogales;Rural;C;3746
5;Valparaíso;5506;Nogales;Rural;D;6496
5;Valparaíso;5601;San Antonio;Urbana;A;16121
5;Valparaíso;5601;San Antonio;Urbana;B;38298
5;Valparaíso;5601;San Antonio;Urbana;C;14390
5;Valparaíso;5601;San Antonio;Urbana;D;21577
5;Valparaíso;5602;Algarrobo;Mixta;A;2626
5;Valparaíso;5602;Algarrobo;Mixta;B;7725
5;Valparaíso;5602;Algarrobo;Mixta;C;2734
5;Valparaíso;5602;Algarrobo;Mixta;D;3273
5;Valparaíso;5603;Cartagena;Mixta;A;8232
5;Valparaíso;5603;Cartagena;Mixta;B;11593
5;Valparaíso;5603;Cartagena;Mixta;C;3809
5;Valparaíso;5603;Cartagena;Mixta;D;4549
5;Valparaíso;5604;El Quisco;Mixta;A;4238
5;Valparaíso;5604;El Quisco;Mixta;B;8729
5;Valparaíso;5604;El Quisco;Mixta;C;2922
5;Valparaíso;5604;El Quisco;Mixta;D;3297
5;Valparaíso;5605;El Tabo;Mixta;A;3514
5;Valparaíso;5605;El Tabo;Mixta;B;7201
5;Valparaíso;5605;El Tabo;Mixta;C;2121
5;Valparaíso;5605;El Tabo;Mixta;D;2660
5;Valparaíso;5606;Santo Domingo;Rural;A;1257
5;Valparaíso;5606;Santo Domingo;Rural;B;5019
5;Valparaíso;5606;Santo Domingo;Rural;C;2167
5;Valparaíso;5606;Santo Domingo;Rural;D;3019
5;Valparaíso;5701;San Felipe;Urbana;A;10245
5;Valparaíso;5701;San Felipe;Urbana;B;33213
5;Valparaíso;5701;San Felipe;Urbana;C;11393
5;Valparaíso;5701;San Felipe;Urbana;D;16307
5;Valparaíso;5702;Catemu;Rural;A;2806
5;Valparaíso;5702;Catemu;Rural;B;6302
5;Valparaíso;5702;Catemu;Rural;C;2150
5;Valparaíso;5702;Catemu;Rural;D;3780
5;Valparaíso;5703;Llaillay;Mixta;A;3906
5;Valparaíso;5703;Llaillay;Mixta;B;8807
5;Valparaíso;5703;Llaillay;Mixta;C;3320
5;Valparaíso;5703;Llaillay;Mixta;D;5606
5;Valparaíso;5704;Panquehue;Rural;A;986
5;Valparaíso;5704;Panquehue;Rural;B;3665
5;Valparaíso;5704;Panquehue;Rural;C;1387
5;Valparaíso;5704;Panquehue;Rural;D;1911
5;Valparaíso;5705;Putaendo;Mixta;A;2927
5;Valparaíso;5705;Putaendo;Mixta;B;8645
5;Valparaíso;5705;Putaendo;Mixta;C;2363
5;Valparaíso;5705;Putaendo;Mixta;D;3151
5;Valparaíso;5706;Santa María;Mixta;A;2357
5;Valparaíso;5706;Santa María;Mixta;B;7610
5;Valparaíso;5706;Santa María;Mixta;C;2536
5;Valparaíso;5706;Santa María;Mixta;D;3291
5;Valparaíso;5801;Quilpué;Urbana;A;18662
5;Valparaíso;5801;Quilpué;Urbana;B;57841
5;Valparaíso;5801;Quilpué;Urbana;C;23010
5;Valparaíso;5801;Quilpué;Urbana;D;33816
5;Valparaíso;5802;Limache;Mixta;A;4965
5;Valparaíso;5802;Limache;Mixta;B;16822
5;Valparaíso;5802;Limache;Mixta;C;6191
5;Valparaíso;5802;Limache;Mixta;D;7009
5;Valparaíso;5803;Olmué;Rural;A;3011
5;Valparaíso;5803;Olmué;Rural;B;9395
5;Valparaíso;5803;Olmué;Rural;C;3099
5;Valparaíso;5803;Olmué;Rural;D;3498
5;Valparaíso;5804;Villa Alemana;Urbana;A;15711
5;Valparaíso;5804;Villa Alemana;Urbana;B;49784
5;Valparaíso;5804;Villa Alemana;Urbana;C;19723
5;Valparaíso;5804;Villa Alemana;Urbana;D;27381
6;Libertador General Bernardo O'Higgins;6101;Rancagua;Urbana;A;34738
6;Libertador General Bernardo O'Higgins;6101;Rancagua;Urbana;B;96175
6;Libertador General Bernardo O'Higgins;6101;Rancagua;Urbana;C;39863
6;Libertador General Bernardo O'Higgins;6101;Rancagua;Urbana;D;61808
6;Libertador General Bernardo O'Higgins;6102;Codegua;Mixta;A;2223
6;Libertador General Bernardo O'Higgins;6102;Codegua;Mixta;B;7648
6;Libertador General Bernardo O'Higgins;6102;Codegua;Mixta;C;3056
6;Libertador General Bernardo O'Higgins;6102;Codegua;Mixta;D;4675
6;Libertador General Bernardo O'Higgins;6103;Coinco;Rural;A;646
6;Libertador General Bernardo O'Higgins;6103;Coinco;Rural;B;2006
6;Libertador General Bernardo O'Higgins;6103;Coinco;Rural;C;538
6;Libertador General Bernardo O'Higgins;6103;Coinco;Rural;D;886
6;Libertador General Bernardo O'Higgins;6104;Coltauco;Mixta;A;2845
6;Libertador General Bernardo O'Higgins;6104;Coltauco;Mixta;B;9070
6;Libertador General Bernardo O'Higgins;6104;Coltauco;Mixta;C;2855
6;Libertador General Bernardo O'Higgins;6104;Coltauco;Mixta;D;4421
6;Libertador General Bernardo O'Higgins;6105;Doñihue;Mixta;A;3332
6;Libertador General Bernardo O'Higgins;6105;Doñihue;Mixta;B;10955
6;Libertador General Bernardo O'Higgins;6105;Doñihue;Mixta;C;3866
6;Libertador General Bernardo O'Higgins;6105;Doñihue;Mixta;D;6544
6;Libertador General Bernardo O'Higgins;6106;Graneros;Mixta;A;2711
6;Libertador General Bernardo O'Higgins;6106;Graneros;Mixta;B;7902
6;Libertador General Bernardo O'Higgins;6106;Graneros;Mixta;C;2977
6;Libertador General Bernardo O'Higgins;6106;Graneros;Mixta;D;4967
6;Libertador General Bernardo O'Higgins;6107;Las Cabras;Rural;A;4761
6;Libertador General Bernardo O'Higgins;6107;Las Cabras;Rural;B;13146
6;Libertador General Bernardo O'Higgins;6107;Las Cabras;Rural;C;3715
6;Libertador General Bernardo O'Higgins;6107;Las Cabras;Rural;D;5423
6;Libertador General Bernardo O'Higgins;6108;Machalí;Urbana;A;4527
6;Libertador General Bernardo O'Higgins;6108;Machalí;Urbana;B;13934
6;Libertador General Bernardo O'Higgins;6108;Machalí;Urbana;C;5878
6;Libertador General Bernardo O'Higgins;6108;Machalí;Urbana;D;10079
6;Libertador General Bernardo O'Higgins;6109;Malloa;Rural;A;2632
6;Libertador General Bernardo O'Higgins;6109;Malloa;Rural;B;7355
6;Libertador General Bernardo O'Higgins;6109;Malloa;Rural;C;2152
6;Libertador General Bernardo O'Higgins;6109;Malloa;Rural;D;2760
6;Libertador General Bernardo O'Higgins;6110;Mostazal;Mixta;A;3626
6;Libertador General Bernardo O'Higgins;6110;Mostazal;Mixta;B;11685
6;Libertador General Bernardo O'Higgins;6110;Mostazal;Mixta;C;4606
6;Libertador General Bernardo O'Higgins;6110;Mostazal;Mixta;D;6434
6;Libertador General Bernardo O'Higgins;6111;Olivar;Mixta;A;2007
6;Libertador General Bernardo O'Higgins;6111;Olivar;Mixta;B;6204
6;Libertador General Bernardo O'Higgins;6111;Olivar;Mixta;C;2297
6;Libertador General Bernardo O'Higgins;6111;Olivar;Mixta;D;3363
6;Libertador General Bernardo O'Higgins;6112;Peumo;Mixta;A;1375
6;Libertador General Bernardo O'Higgins;6112;Peumo;Mixta;B;5459
6;Libertador General Bernardo O'Higgins;6112;Peumo;Mixta;C;1687
6;Libertador General Bernardo O'Higgins;6112;Peumo;Mixta;D;2866
6;Libertador General Bernardo O'Higgins;6113;Pichidegua;Rural;A;2630
6;Libertador General Bernardo O'Higgins;6113;Pichidegua;Rural;B;9560
6;Libertador General Bernardo O'Higgins;6113;Pichidegua;Rural;C;2514
6;Libertador General Bernardo O'Higgins;6113;Pichidegua;Rural;D;3698
6;Libertador General Bernardo O'Higgins;6114;Quinta de Tilcoco;Mixta;A;2726
6;Libertador General Bernardo O'Higgins;6114;Quinta de Tilcoco;Mixta;B;6861
6;Libertador General Bernardo O'Higgins;6114;Quinta de Tilcoco;Mixta;C;2078
6;Libertador General Bernardo O'Higgins;6114;Quinta de Tilcoco;Mixta;D;2672
6;Libertador General Bernardo O'Higgins;6115;Rengo;Urbana;A;10801
6;Libertador General Bernardo O'Higgins;6115;Rengo;Urbana;B;28702
6;Libertador General Bernardo O'Higgins;6115;Rengo;Urbana;C;9686
6;Libertador General Bernardo O'Higgins;6115;Rengo;Urbana;D;14051
6;Libertador General Bernardo O'Higgins;6116;Requínoa;Mixta;A;3013
6;Libertador General Bernardo O'Higgins;6116;Requínoa;Mixta;B;12476
6;Libertador General Bernardo O'Higgins;6116;Requínoa;Mixta;C;4906
6;Libertador General Bernardo O'Higgins;6116;Requínoa;Mixta;D;6872
6;Libertador General Bernardo O'Higgins;6117;San Vicente;Mixta;A;6774
6;Libertador General Bernardo O'Higgins;6117;San Vicente;Mixta;B;24074
6;Libertador General Bernardo O'Higgins;6117;San Vicente;Mixta;C;7677
6;Libertador General Bernardo O'Higgins;6117;San Vicente;Mixta;D;10167
6;Libertador General Bernardo O'Higgins;6201;Pichilemu;Rural;A;1962
6;Libertador General Bernardo O'Higgins;6201;Pichilemu;Rural;B;5768
6;Libertador General Bernardo O'Higgins;6201;Pichilemu;Rural;C;1976
6;Libertador General Bernardo O'Higgins;6201;Pichilemu;Rural;D;1964
6;Libertador General Bernardo O'Higgins;6202;La Estrella;Rural;A;698
6;Libertador General Bernardo O'Higgins;6202;La Estrella;Rural;B;2043
6;Libertador General Bernardo O'Higgins;6202;La Estrella;Rural;C;636
6;Libertador General Bernardo O'Higgins;6202;La Estrella;Rural;D;795
6;Libertador General Bernardo O'Higgins;6203;Litueche;Rural;A;860
6;Libertador General Bernardo O'Higgins;6203;Litueche;Rural;B;2130
6;Libertador General Bernardo O'Higgins;6203;Litueche;Rural;C;738
6;Libertador General Bernardo O'Higgins;6203;Litueche;Rural;D;803
6;Libertador General Bernardo O'Higgins;6204;Marchihue;Rural;A;740
