codigo_region;nombre_region;codigo_comuna;nombre_comuna;clasificacion;sexo;tramo_fonasa;beneficiarios
9;La Araucanía;9120;Villarrica;Mixta;Hombre;A;7788
13;Metropolitana de Santiago;13132;Vitacura;Urbana;Hombre;A;579
5;Valparaíso;5109;Viña del Mar;Urbana;Hombre;A;17437
7;Maule;7408;Yerbas Buenas;Rural;Hombre;A;1935
8;Biobío;8313;Yumbel;Mixta;Hombre;A;1951
16;Ñuble;16109;Yungay;Mixta;Hombre;A;933
5;Valparaíso;5405;Zapallar;Rural;Hombre;A;521
16;Ñuble;16303;Ñiquén;Rural;Hombre;A;1166
13;Metropolitana de Santiago;13120;Ñuñoa;Urbana;Hombre;A;4665
5;Valparaíso;5602;Algarrobo;Mixta;Hombre;B;3210
13;Metropolitana de Santiago;13502;Alhué;Rural;Hombre;B;1832
8;Biobío;8314;Alto Biobío;Rural;Hombre;B;1278
3;Atacama;3302;Alto del Carmen;Rural;Hombre;B;1038
1;Tarapacá;1107;Alto Hospicio;Urbana;Hombre;B;15947
10;Los Lagos;10202;Ancud;Mixta;Hombre;B;8012
4;Coquimbo;4103;Andacollo;Rural;Hombre;B;1165
9;La Araucanía;9201;Angol;Urbana;Hombre;B;10289
2;Antofagasta;2101;Antofagasta;Urbana;Hombre;B;44066
8;Biobío;8302;Antuco;Rural;Hombre;B;755
12;Magallanes y de la Antártica Chilena;12202;Antártica;NA;Hombre;B;6
8;Biobío;8202;Arauco;Rural;Hombre;B;5317
15;Arica y Parinacota;15101;Arica;Urbana;Hombre;B;38618
11;Aysén del General Carlos Ibáñez del Campo;11201;Aysén;Rural;Hombre;B;3100
13;Metropolitana de Santiago;13402;Buin;Urbana;Hombre;B;17895
16;Ñuble;16102;Bulnes;Rural;Hombre;B;3797
5;Valparaíso;5402;Cabildo;Mixta;Hombre;B;3081
12;Magallanes y de la Antártica Chilena;12201;Cabo de Hornos;Rural;Hombre;B;61
8;Biobío;8303;Cabrero;Rural;Hombre;B;5151
2;Antofagasta;2201;Calama;Urbana;Hombre;B;18495
10;Los Lagos;10102;Calbuco;Mixta;Hombre;B;5904
3;Atacama;3102;Caldera;Rural;Hombre;B;3017
5;Valparaíso;5502;Calera;Urbana;Hombre;B;8164
13;Metropolitana de Santiago;13403;Calera de Tango;Mixta;Hombre;B;3972
5;Valparaíso;5302;Calle Larga;Mixta;Hombre;B;2413
15;Arica y Parinacota;15102;Camarones;Rural;Hombre;B;38
1;Tarapacá;1402;Camiña;Rural;Hombre;B;159
4;Coquimbo;4202;Canela;Rural;Hombre;B;2007
9;La Araucanía;9102;Carahue;Rural;Hombre;B;4000
5;Valparaíso;5603;Cartagena;Mixta;Hombre;B;5278
5;Valparaíso;5102;Casablanca;Mixta;Hombre;B;4062
10;Los Lagos;10201;Castro;Mixta;Hombre;B;8675
5;Valparaíso;5702;Catemu;Rural;Hombre;B;2809
7;Maule;7201;Cauquenes;Rural;Hombre;B;8424
8;Biobío;8203;Cañete;Rural;Hombre;B;5801
13;Metropolitana de Santiago;13102;Cerrillos;Urbana;Hombre;B;9686
13;Metropolitana de Santiago;13103;Cerro Navia;Urbana;Hombre;B;21695
10;Los Lagos;10401;Chaitén;Rural;Hombre;B;430
7;Maule;7202;Chanco;Rural;Hombre;B;1285
3;Atacama;3201;Chañaral;Rural;Hombre;B;1826
8;Biobío;8103;Chiguayante;Urbana;Hombre;B;11973
11;Aysén del General Carlos Ibáñez del Campo;11401;Chile Chico;Rural;Hombre;B;806
16;Ñuble;16101;Chillán;Urbana;Hombre;B;33800
16;Ñuble;16103;Chillán Viejo;Mixta;Hombre;B;6234
6;Libertador General Bernardo O'Higgins;6303;Chimbarongo;Rural;Hombre;B;6718
9;La Araucanía;9121;Cholchol;Rural;Hombre;B;2545
10;Los Lagos;10203;Chonchi;Rural;Hombre;B;2710
6;Libertador General Bernardo O'Higgins;6302;Chépica;Mixta;Hombre;B;3798
11;Aysén del General Carlos Ibáñez del Campo;11202;Cisnes;Rural;Hombre;B;862
16;Ñuble;16202;Cobquecura;Rural;Hombre;B;1240
10;Los Lagos;10103;Cochamó;Rural;Hombre;B;536
11;Aysén del General Carlos Ibáñez del Campo;11301;Cochrane;Rural;Hombre;B;687
6;Libertador General Bernardo O'Higgins;6102;Codegua;Mixta;Hombre;B;3297
16;Ñuble;16203;Coelemu;Rural;Hombre;B;2013
16;Ñuble;16302;Coihueco;Rural;Hombre;B;5886
6;Libertador General Bernardo O'Higgins;6103;Coinco;Rural;Hombre;B;940
7;Maule;7402;Colbún;Rural;Hombre;B;5108
1;Tarapacá;1403;Colchane;Rural;Hombre;B;167
13;Metropolitana de Santiago;13301;Colina;Urbana;Hombre;B;19414
9;La Araucanía;9202;Collipulli;Rural;Hombre;B;3472
6;Libertador General Bernardo O'Higgins;6104;Coltauco;Mixta;Hombre;B;4159
4;Coquimbo;4302;Combarbalá;Rural;Hombre;B;1977
