codigo_region;region;codigo_comuna;comuna;n_habitantes;km_2;densidad;tipo_com;clasificacion
15;Arica;15202;GENERAL LAGOS;684;2257;3,03057155516172e-01;3;Rural
16;Ñuble;16101;CHILLÁN;184739;475;3,88924210526316e+02;1;Urbana
16;Ñuble;16102;BULNES;21493;426;5,04530516431925e+01;3;Rural
16;Ñuble;16103;CHILLÁN VIEJO;30907;264;1,17071969696970e+02;2;Mixta
16;Ñuble;16104;EL CARMEN;12044;666;1,80840840840841e+01;3;Rural
16;Ñuble;16105;PEMUCO;8448;561;1,50588235294118e+01;3;Rural
16;Ñuble;16106;PINTO;10827;1105;9,79819004524887e+00;3;Rural
16;Ñuble;16107;QUILLÓN;17485;406;4,30665024630542e+01;2;Mixta
16;Ñuble;16108;SAN IGNACIO;16079;362;4,44171270718232e+01;3;Rural
16;Ñuble;16109;YUNGAY;17787;826;2,15338983050847e+01;2;Mixta
16;Ñuble;16201;QUIRIHUE;11594;584;1,98527397260274e+01;2;Mixta
16;Ñuble;16202;COBQUECURA;5012;576;8,70138888888889e+00;3;Rural
16;Ñuble;16203;COELEMU;15995;344;4,64970930232558e+01;3;Rural
16;Ñuble;16204;NINHUE;5213;403;1,29354838709677e+01;3;Rural
16;Ñuble;16205;PORTEZUELO;4862;289;1,68235294117647e+01;3;Rural
16;Ñuble;16206;RÁNQUIL;5755;249;2,31124497991968e+01;3;Rural
16;Ñuble;16207;TREGUACO;5401;312;1,73108974358974e+01;3;Rural
16;Ñuble;16301;SAN CARLOS;53024;876;6,05296803652968e+01;2;Mixta
16;Ñuble;16302;COIHUECO;26881;1774;1,51527621195039e+01;3;Rural
16;Ñuble;16303;ÑIQUÉN;11152;495;2,25292929292929e+01;3;Rural
16;Ñuble;16304;SAN FABIÁN;4308;1545;2,78834951456311e+00;3;Rural
16;Ñuble;16305;SAN NICOLÁS;11603;566;2,05000000000000e+01;3;Rural
